k,F_gap_S4,bound_type1,bound_type2
0,11.573158575031982,20.79982255427819,20.79982255427819
1,1.1374592972321147,5.71865085485247,9.352530822926841
2,0.4739596843196576,3.030153828565144,5.832444513665388
3,0.3221419176018647,2.1729068687472397,4.666882642197436
4,0.2203528661803691,1.8847263160484802,3.8548764332272727
5,0.15252876706686114,1.798610870438846,3.097286407573358
6,0.10766580600254283,1.8191447977470494,2.6045682591445023
7,0.07963526668160537,1.8734514590098468,2.1681117970592503
8,0.06614176052294551,1.944802547099974,1.8398643905070209
9,0.05567025891915023,2.0100787195940977,1.5591169494788741
10,0.047194617601880484,2.075901357616145,1.349731104619301
11,0.03997247424076478,2.144913136459858,1.1883271009344203
12,0.033746011940499976,2.2168599310085435,1.0586703986183184
13,0.027877468111956683,2.281881682927553,0.9401619018292804
14,0.02257701691106795,2.3436398921539516,0.8440085649500029
15,0.018007575952309063,2.4040918145381993,0.7644869993752191
16,0.01410881374008044,2.4636158896946223,0.6969334555656214
17,0.01105651033114663,2.5206486150694336,0.6371546003111161
18,0.00844851185348161,2.569151099171979,0.5803344211585586
19,0.006267260516134465,2.6114519882833966,0.5314437802540132
20,0.004499489071077223,2.6488453845802633,0.4887935329140254
21,0.0030946994428326935,2.681909528264889,0.4510989196781644
22,0.002039964842468933,2.7103894071888144,0.4172212459896717
23,0.0013793224411635663,2.7343671548522686,0.38679746766508105
24,0.0009197875467705785,2.751473323925978,0.3585719402641965
25,0.0005871169653923758,2.7628563695895925,0.3333349369100314
26,0.00034496668183181534,2.7693565901569293,0.3106556516343037
27,0.00017999307594385172,2.7716051548120837,0.290186561423073
28,8.030034250339213e-05,2.7700900838710694,0.2716435831856517
29,2.893630469147368e-05,2.765201808155069,0.2547915997456426
30,8.381108280275384e-06,2.7572656925187338,0.23943369326944566
31,4.963016043024737e-06,2.746565391949582,0.22540292330583522
32,1.010157064684769e-05,2.7329578599054143,0.21253281365582927
33,1.8495340943003313e-05,2.716884806686848,0.20073620432515113
34,2.617219008005378e-05,2.698714716868424,0.18989714201327998
35,3.084246441686922e-05,2.678765112752125,0.17991519360110914
36,3.183263883066445e-05,2.6573199750745253,0.17070272729808003
37,2.968389342949962e-05,2.634681446431835,0.16218291318051864
38,2.5406340344424905e-05,2.611143382273991,0.15428813893212395
39,2.00438430375538e-05,2.5869471740146253,0.14695870330112532
40,1.4221278917148084e-05,2.5621891109970827,0.14014061355695911
41,8.815711506127144e-06,2.537026846780179,0.13378795173311445
42,4.484784510871975e-06,2.5115913156479723,0.12785918190580814
43,1.5994281505893326e-06,2.485990956347649,0.12231730621405033
44,2.1727832399953684e-07,2.4603153569977225,0.1171292841819598
45,1.1864969273744919e-07,2.4346384127837504,0.11226553701644655
46,8.985143200579415e-07,2.409021037219339,0.1076995222450127
47,2.085274901642009e-06,2.383513464059382,0.10340736726238664
48,3.251453677854954e-06,2.358157184317347,0.09936755270728359
49,4.123989149285023e-06,2.332987279888484,0.09556063960988037
50,4.52569411479864e-06,2.308032344923403,0.09196902668370575
51,4.414968476140757e-06,2.2833193628563944,0.08857674994991888
52,3.865444019091058e-06,2.2588753420556897,0.0853692997997866
53,3.027259545929084e-06,2.2347226012712813,0.08233346392787058
54,2.0827308215842777e-06,2.2108787601288182,0.07945719015504694
55,1.2057643545837493e-06,2.1873572771051477,0.07672946619222061
56,5.306766004409269e-07,2.1641679890554983,0.07414021390137203
57,1.333844215078983e-07,2.141317609360906,0.0716801960494684
58,2.6875224268252396e-08,2.1188285892018803,0.06934104869115135
59,1.8514414423798087e-07,2.0967004240462863,0.06711484686471443
60,5.318166804713087e-07,2.07493009584894,0.06499440960187498
61,9.610708220364472e-07,2.0535126611356835,0.06297312307388872
62,1.3625409633899466e-06,2.0324418245700926,0.06104488869652376
63,1.644467356731738e-06,2.0117105113017053,0.05920407550000189
64,1.7503721134737305e-06,1.9913116885631512,0.057445476506585796
65,1.6665827300421654e-06,1.971242573173439,0.0557642690784204
66,1.4202468332502605e-06,1.9515046701772953,0.054155979261324136
67,1.0694479268824608e-06,1.9320985716895889,0.05261645009406087
68,6.883036107740992e-07,1.913023410808391,0.05114181373352421
69,3.460593491766417e-07,1.8942830163321773,0.04972851508794347
70,1.0712409315161153e-07,1.8758740144139243,0.04837315668749293
71,1.0436359998422517e-08,1.8577913078443034,0.047072597676573444
72,6.281375197758621e-08,1.8400282562909072,0.04582390476913394
73,2.393332665384662e-07,1.8225769122587603,0.04462433890394127
74,4.903581589665862e-07,1.8054283009655556,0.043471342768411754
75,7.534372672424183e-07,1.7885727308850692,0.04236252854410947
76,9.673162506551591e-07,1.7720001219558092,0.04129566550328305
77,1.0849515605926285e-06,1.7557003513228269,0.040268667401377516
78,1.0827774203914231e-06,1.7396644302049211,0.039279579897598234
79,9.644314273860033e-07,1.7238917014408612,0.038326568432963955
80,7.570381943544646e-07,1.7083826999519265,0.037407912710992246
81,5.068933659480024e-07,1.693136392633081,0.036521985831434754
82,2.67753218041733e-07,1.678150634580992,0.035667251842325956
83,8.88734441595318e-08,1.6634221052068463,0.03484225778754996
84,4.516868656878614e-09,1.64894631131009,0.03404562914418887
85,2.7133562285897028e-08,1.6347176526969434,0.03327606668196663
86,1.4553600946598522e-07,1.6207295445952208,0.03253234412162007
87,3.282618217248512e-07,1.6069745887099713,0.031813305921242915
88,5.311886814851619e-07,1.5934447826032252,0.031117864608917304
89,7.075845469550757e-07,1.5801317556295609,0.030444997281949167
90,8.183232942382546e-07,1.5670270205235481,0.029793741161502733
91,8.400535551622568e-07,1.554122284794916,0.02916318836554235
92,7.6964228323817e-07,1.5414158257497417,0.028552480285698397
93,6.240305636673327e-07,1.52890760845504,0.02796080227497298
94,4.3593364895677666e-07,1.5165969748161097,0.02738737844666754
95,2.4618980898338805e-07,1.5044825227957086,0.02683146794152626
96,9.466737438401651e-08,1.4925620242690247,0.026292362304309286
97,1.1701557056653655e-08,1.4808323928400773,0.025769384146860714
98,1.1871751137704223e-08,1.4692897008979124,0.02526188682053573
99,9.136680390042784e-08,1.4579292433820619,0.024769254681868136
