k,exact,IAPPA1_q1.75,IAPPA2_q1.75,delta1_bound_component,delta2_bound_component
0,64.0,64.0,64.0,0.0,0.0
1,0.9035266150575163,1.1199808635660053,1.1026077372877978,0.020000000000000004,0.020000000000000004
2,0.016735600312624235,0.03310050153671238,0.029635867988593193,0.032304366741753104,0.01265003135090904
3,6.888978176264438e-05,0.0009717653308639258,0.0005044992874262238,0.03944475447562895,0.00847733775822333
4,6.9013448353032365e-06,9.87163262008435e-06,1.0863274409812753e-08,0.04365262306742729,0.006060705411422327
5,0.00030273219771829107,3.6297422444752784e-07,2.9362485078163822e-05,0.04614225454788755,0.004550904058518056
6,0.0009114129314095295,4.5232949939615796e-05,0.00025052618765648496,0.04758101804809635,0.003546133923526095
7,0.0012765232691901171,0.00022684436994729402,0.0005903037135885201,0.048353204862003965,0.0028435286124005327
8,0.0012209187915304196,0.0004965841449876689,0.0008212145111810059,0.048690417999079944,0.0023326157785307612
9,0.000931596044718948,0.0007152240696010624,0.000846588778309523,0.04873781106435363,0.0019492043452312537
10,0.0006159832102563676,0.0007912508286834252,0.0007194296834416714,0.04858937733272758,0.001653939942455182
11,0.0003707954005869644,0.0007304298270229245,0.000536429480389905,0.048307650584728204,0.0014215987709520052
12,0.00020950106355826224,0.0005937281267273348,0.0003655063583660017,0.04793517425590517,0.0012354011641204496
13,0.00011319872449753996,0.0004415825786140077,0.00023394760396301453,0.04750142764159408,0.0010838274017410173
14,5.912064708265091e-05,0.0003092165740064314,0.00014334764647235072,0.04702714417563377,0.0009587524023480298
15,2.9992689268413308e-05,0.0002083375928017292,8.516505967638475e-05,0.04652707963633086,0.0008543098184191881
16,1.4786073297595605e-05,0.00013733731183534318,4.9471636967815774e-05,0.04601183037513714,0.0007661766748252276
17,7.058574174851194e-06,8.974345611934005e-05,2.824029346713068e-05,0.04548905337444227,0.0006911094311777304
18,3.2382232001161096e-06,5.873897168424018e-05,1.5881714489659426e-05,0.044964300510792574,0.0006266352208345135
19,1.409812991110787e-06,3.883442754778322e-05,8.803513457448617e-06,0.044441598624855326,0.0005708415962288482
20,5.711184109274465e-07,2.6114456096579667e-05,4.803952823738412e-06,0.043923858878204686,0.0005222303911072549
21,2.0862434946505012e-07,1.796403531926419e-05,2.573081386088059e-06,0.04341316947851908,0.0004796142616435919
22,6.515453793440639e-08,1.2700484901413758e-05,1.3463919051990018e-06,0.04291100748162122,0.00044204221534537735
23,1.5727554751675077e-08,9.2627895208907e-06,6.835424823763719e-07,0.04241839365711181,0.000408745191438698
24,2.330891270693341e-09,6.9880870459983626e-06,3.3340956208970044e-07,0.041936006784706804,0.0003790957434617723
25,9.857853407511196e-11,5.462974469880829e-06,1.540317221211964e-07,0.04146426870982125,0.00035257779143855843
26,4.278588234884886e-15,4.428719137402798e-06,6.601715302193679e-08,0.04100340810255173,0.000328763664786566
27,1.2204941840327515e-10,3.722228554431155e-06,2.5425498455833677e-08,0.04055350855800094,0.0003072964919120325
28,1.381278198808891e-09,3.2397089133338196e-06,8.34262943883688e-09,0.04011454508343323,0.0002878765573835176
29,5.494146188976241e-09,2.914369983088938e-06,2.1095277426759087e-09,0.03968641190462922,0.0002702506356642448
30,1.407991444134455e-08,2.7027157052242953e-06,3.2714335009322465e-10,0.03926894373689315,0.000254203580710239
31,2.8318014833570828e-08,2.5760556686095866e-06,1.4600678674982056e-11,0.038861932104002135,0.00023955164148031083
32,4.886615038275939e-08,2.5151913143702628e-06,5.480982780642388e-16,0.03846513788285417,0.00022613710960961355
33,7.589258103484505e-08,2.507039908712723e-06,1.910249673125457e-11,0.03807830095637127,0.00021382400385594534
34,1.0915153353324726e-07,2.5424495819306823e-06,2.256344066952694e-10,0.037701147640508484,0.00020249456770092178
35,1.480688799824736e-07,2.6147543753660484e-06,9.309990636895297e-10,0.03733339639088244,0.0001920464093778136
36,1.918241395357261e-07,2.7187966685391084e-06,2.4681282521368467e-09,0.036974762175028666,0.0001823901529327865
37,2.394238650628706e-07,2.850252506755537e-06,5.126181784990574e-09,0.036624959806614704,0.00017344749843482802
38,2.8976547844081774e-07,3.00516122834408e-06,9.124616117653853e-09,0.03628370647020247,0.0001651496117680608
39,3.4169215729133844e-07,3.1796009742067226e-06,1.4608230024868606e-08,0.03595072361368932,0.00015743578145105194
40,3.940397640585273e-07,3.3694759240247503e-06,2.165259470192662e-08,0.035625738346237106,0.00015025229298821049
41,4.4567671289712297e-07,3.5703952318746465e-06,3.0273885154279524e-08,0.035308484449299286,0.0001435514813553413
42,4.955374224192839e-07,3.777631124854854e-06,4.043972997726496e-08,0.034998703085048814,0.00013729093007865982
43,5.426497592290803e-07,3.986146694435515e-06,5.207523998512392e-08,0.034696143268440796,0.0001314327915190865
44,5.861567035912813e-07,4.1906840755043475e-06,6.507046882446516e-08,0.03440056215507606,0.00012594320781990524
45,6.253323826553295e-07,4.3859021408340805e-06,7.928754089152342e-08,0.03411172518603739,0.00012079181581481473
46,6.595926125425036e-07,4.566550516496688e-06,9.456660460682526e-08,0.033829406122246025,0.00011595132225079868
47,6.885001509220365e-07,4.727664487701777e-06,1.1073102385761609e-07,0.03355338699409898,0.00011139713812773709
48,7.117649644742368e-07,4.864763905606997e-06,1.2759196834342192e-07,0.0332834579867907,0.00010710706292557499
49,7.292399384036116e-07,4.974039018436489e-06,1.449525350186805e-07,0.033019417277482206,0.00010306101108119875
50,7.409125775346352e-07,5.05250748515435e-06,1.6261150354191225e-07,0.032761070837116366,9.924077436913794e-05
51,7.468933537856447e-07,5.0981296684891395e-06,1.8036679863451352e-07,0.032508232207002996,9.562981489365662e-05
52,7.474014308408728e-07,5.10987337262738e-06,1.9801870449005065e-07,0.03226072225816621,9.221308426231465e-05
53,7.42748536399775e-07,5.087724015996593e-06,2.1537285262707003e-07,0.03201836893974642,8.897686522007684e-05
54,7.333217529834198e-07,5.032641226704494e-06,2.3224298561717472e-07,0.031781007021391056,8.590863260807787e-05
55,7.19565961587023e-07,4.946467425805561e-06,2.484534851121367e-07,0.03154847783348244,8.299693099565943e-05
56,7.019666034497412e-07,4.831797621263045e-06,2.638416433592473e-07,0.03132062900818265,8.023126673697518e-05
57,6.810333311022013e-07,4.691822037439603e-06,2.782596525531939e-07,0.03109731422358051,7.760201253926567e-05
58,6.572850090924176e-07,4.530154216210754e-06,2.9157628542484493e-07,0.03087839295267026,7.510032291086487e-05
59,6.31236406050224e-07,4.350656908889076e-06,3.0367824283460513e-07,0.03066373021844783,7.271805909281272e-05
60,6.03386801101014e-07,4.15727665636659e-06,3.14471149192735e-07,0.030453196356056377,7.044772227647298e-05
61,5.742106159512592e-07,3.953895754463071e-06,3.238801836154438e-07,0.030246666782631243,6.828239407718153e-05
62,5.441500845361454e-07,3.744207687202478e-06,3.3185034318094167e-07,0.030044021775270758,6.621568337588842e-05
63,5.136098885146534e-07,3.5316194279868794e-06,3.383463438262931e-07,0.029845146257382715,6.424167876127587e-05
64,4.829536210059317e-07,3.3191815405884857e-06,3.4335217371405095e-07,0.029649929593517484,6.23549059074374e-05
65,4.525018931673252e-07,3.1095449559222793e-06,3.4687032274712296e-07,0.029458265392690315,6.0550289309779876e-05
66,4.225318676766384e-07,2.9049417630029887e-06,3.4892071985028046e-07,0.029270051320111647,5.88231178767471e-05
67,3.9327798814888657e-07,2.707186357732754e-06,3.4953941629095306e-07,0.029085188917180153,5.716901393923938e-05
68,3.6493367165495033e-07,2.5176928019111606e-06,3.487770584090795e-07,0.028903583429545198,5.55839052948655e-05
69,3.376537401890255e-07,2.337504175947807e-06,3.466971965032019e-07,0.028725143643010043,5.406399995178251e-05
70,3.115573834823396e-07,2.16732996026983e-06,3.433744782217465e-07,0.02854978172702209,5.260576327800253e-05
71,2.8673146745717423e-07,2.007587947171066e-06,3.388927746772428e-07,0.028377413085479492,5.120589729763682e-05
72,2.6323402761010974e-07,1.8584477709401622e-06,3.3334328576553895e-07,0.028207956214573112,4.986132190641346e-05
73,2.4109781281359284e-07,1.7198737703594731e-06,3.2682266802951947e-07,0.028041332567377543,4.8569157805627644e-05
74,2.2033377092350714e-07,1.5916655047097951e-06,3.194312241054472e-07,0.02787746642490363,4.732671097703833e-05
75,2.0093439205211437e-07,1.4734947924354386e-06,3.112711876086672e-07,0.027716284773326966,4.61314585415989e-05
76,1.8287684763714856e-07,1.3649386080140111e-06,3.024451315447449e-07,0.027557717187111086,4.4981035862715834e-05
77,1.6612588304181927e-07,1.2655075484969625e-06,2.9305452225753056e-07,0.0274016957177503,4.387322477032033e-05
78,1.50636438142504e-07,1.174669867851144e-06,2.8319843481271655e-07,0.02724815478786473,4.280594279571232e-05
79,1.363559841840779e-07,1.0918712824370153e-06,2.7297243979861077e-07,0.027097031090388534,4.177723331915116e-05
80,1.2322657623552518e-07,1.0165508861880395e-06,2.6246766600060224e-07,0.02694826349260162,4.078525654274077e-05
81,1.1118662908791907e-07,9.481535922423924e-07,2.517700384243526e-07,0.026801792944764726,3.982828121047811e-05
82,1.0017243068980906e-07,8.861395517380089e-07,2.409596868127914e-07,0.026657562393127717,3.890467700556281e-05
83,9.011941152633899e-08,8.299910019186917e-07,2.301105161881917e-07,0.026515516697090825,3.8012907562342825e-05
84,8.096319103689412e-08,7.792169746706329e-07,2.192899280782199e-07,0.026375602550308578,3.7151524036715155e-05
85,7.26404235374064e-08,7.333562613322815e-07,2.0855867894492786e-07,0.026237768405535964,3.631915918451622e-05
